Year,Month,Day,Tmax(¡C),Tmin(¡C),PrecTotal (mm),Tavg
1971,1,1,-23.13022995,-30.16877365,0.052697308,-26.6495018
1971,1,2,-22.13160324,-33.56684494,0.021609792,-27.84922409
1971,1,3,-21.55843735,-32.86184311,0.055470731,-27.21014023
1971,1,4,-21.48034286,-25.71683884,0.020085195,-23.59859085
1971,1,5,-17.79792404,-27.03692245,0.979392409,-22.41742325
1971,1,6,-17.5104332,-29.31446457,0.706970692,-23.41244888
1971,1,7,-16.12490463,-28.92951584,2.053955078,-22.52721024
1971,1,8,-18.74468613,-33.52209091,0,-26.13338852
1971,1,9,-25.45028305,-31.65603256,0,-28.55315781
1971,1,10,-27.84225082,-32.06074142,0,-29.95149612
1971,1,11,-29.82911301,-34.73099899,0,-32.280056
1971,1,12,-30.29354477,-36.73820114,0,-33.51587296
1971,1,13,-30.42196274,-37.04014206,0,-33.7310524
1971,1,14,-21.95754623,-38.42521286,0.137372226,-30.19137955
1971,1,15,-21.89480209,-30.18706894,0,-26.04093552
1971,1,16,-23.02584457,-29.46165085,0,-26.24374771
1971,1,17,-19.09516525,-32.23705673,1.694071293,-25.66611099
1971,1,18,-18.17704391,-23.86263657,4.581653118,-21.01984024
1971,1,19,-20.59618759,-26.84780502,0,-23.72199631
1971,1,20,-20.09058762,-23.12662888,2.139997005,-21.60860825
1971,1,21,-17.22454453,-23.67013168,1.531817436,-20.4473381
1971,1,22,-18.02074814,-29.58202744,0,-23.80138779
1971,1,23,-19.1157341,-31.38404465,0.876984,-25.24988937
1971,1,24,-17.16126633,-22.41210556,1.500163078,-19.78668594
1971,1,25,-17.74744797,-25.79053879,0,-21.76899338
1971,1,26,-18.28591537,-27.61317062,0,-22.949543
1971,1,27,-18.32648849,-24.94390488,0,-21.63519669
1971,1,28,-14.40587997,-26.77947617,5.433882236,-20.59267807
1971,1,29,-16.81469345,-29.08669662,0,-22.95069504
1971,1,30,-18.57888412,-32.69085312,0.270377785,-25.63486862
1971,1,31,-15.78524399,-31.53043747,6.339448929,-23.65784073
1971,2,1,-23.90662766,-33.80434799,0,-28.85548782
1971,2,2,-22.75681686,-34.12214279,0,-28.43947983
1971,2,3,-21.68069077,-39.67281723,0.821748972,-30.676754
1971,2,4,-27.01014328,-37.84917831,0,-32.4296608
1971,2,5,-23.83291245,-29.82014084,0.194702506,-26.82652664
1971,2,6,-23.86353683,-32.79682541,0,-28.33018112
1971,2,7,-23.61977768,-27.68799973,0,-25.6538887
1971,2,8,-25.52708054,-36.43874741,0,-30.98291397
1971,2,9,-25.90894699,-32.43371201,0,-29.1713295
1971,2,10,-24.84635544,-32.96210861,0,-28.90423203
1971,2,11,-23.00381088,-30.925457,0.021471571,-26.96463394
1971,2,12,-24.66253281,-34.37366867,0,-29.51810074
1971,2,13,-21.81513596,-33.92155075,0.792624593,-27.86834335
1971,2,14,-21.87556076,-31.45869064,0.382376432,-26.6671257
1971,2,15,-24.63856125,-31.07751083,0,-27.85803604
1971,2,16,-24.38007736,-29.01371384,0.077554815,-26.6968956
1971,2,17,-24.38393784,-27.89474106,0.044522583,-26.13933945
1971,2,18,-20.5076561,-30.58434677,0.653617084,-25.54600143
1971,2,19,-20.00596237,-25.19233322,0.191534907,-22.5991478
1971,2,20,-18.96465683,-27.94210434,0,-23.45338058
1971,2,21,-17.50844955,-23.06863022,2.78599906,-20.28853989
1971,2,22,-18.76336288,-24.8755455,2.322952747,-21.81945419
1971,2,23,-20.38311386,-25.71728134,2.41815567,-23.0501976
1971,2,24,-20.53893661,-28.73258591,1.669290543,-24.63576126
1971,2,25,-13.03957748,-30.32557297,1.884619713,-21.68257523
1971,2,26,-14.92803574,-28.06109238,0,-21.49456406
1971,2,27,-16.30657578,-28.79740524,0,-22.55199051
1971,2,28,-9.852108002,-23.76174545,0,-16.80692673
1971,3,1,-8.145320892,-13.73546982,1.576437712,-10.94039536
1971,3,2,-10.58980942,-22.60567856,0,-16.59774399
1971,3,3,-13.60155869,-18.03081894,0,-15.81618881
1971,3,4,-14.31747055,-22.68833542,0.025894228,-18.50290298
1971,3,5,-17.03582382,-23.20173264,0,-20.11877823
1971,3,6,-19.33051682,-30.23298264,0,-24.78174973
1971,3,7,-16.33391953,-31.09246445,0.049652256,-23.71319199
1971,3,8,-10.36584091,-23.93400192,0.565227866,-17.14992142
1971,3,9,-9.807003021,-24.08851242,0.547606111,-16.94775772
1971,3,10,-11.73327255,-27.65215683,0.018086158,-19.69271469
1971,3,11,-7.718715668,-20.12119675,0.61565882,-13.91995621
1971,3,12,-13.0809288,-20.54583359,0,-16.8133812
1971,3,13,-15.98025131,-27.31220627,0,-21.64622879
1971,3,14,-20.60673141,-30.94013596,0,-25.77343369
1971,3,15,-20.41553879,-31.58182907,0,-25.99868393
1971,3,16,-19.80286789,-31.58660507,0,-25.69473648
1971,3,17,-19.78518295,-32.4403801,0,-26.11278152
1971,3,18,-10.3314476,-31.67806625,0.614476562,-21.00475693
1971,3,19,-8.366176605,-25.1888237,1.020267367,-16.77750015
1971,3,20,-18.08556747,-29.43389511,0,-23.75973129
1971,3,21,-15.24074936,-28.61471176,0,-21.92773056
1971,3,22,-10.10393906,-22.44569016,0,-16.27481461
1971,3,23,-10.04415512,-18.31757736,0,-14.18086624
1971,3,24,-12.73754501,-22.03591537,0,-17.38673019
1971,3,25,-11.80773544,-21.86420822,0,-16.83597183
1971,3,26,-10.66650009,-19.25689316,0,-14.96169662
1971,3,27,-12.47820663,-17.59011459,0.031195205,-15.03416061
1971,3,28,-13.69555283,-16.95281601,3.594559193,-15.32418442
1971,3,29,-13.89825058,-19.00759506,1.588573456,-16.45292282
1971,3,30,-11.42922592,-23.46053696,0,-17.44488144
1971,3,31,-4.431697845,-20.29999924,6.110007763,-12.36584854
1971,4,1,-4.01922226,-16.27730942,2.130773544,-10.14826584
1971,4,2,-3.175716639,-16.65591049,0.715979099,-9.915813565
1971,4,3,-2.877895594,-12.45486069,0,-7.66637814
1971,4,4,-5.976924896,-16.5842247,0,-11.2805748
1971,4,5,-5.832912445,-17.10564804,0,-11.46928024
1971,4,6,-2.993007898,-15.72298813,0,-9.357998013
1971,4,7,-1.62517941,-8.673671722,0.252511024,-5.149425566
1971,4,8,-1.784725308,-9.149715424,0.060671441,-5.467220366
1971,4,9,-2.489650965,-9.071315765,0,-5.780483365
1971,4,10,-3.796108484,-10.96862411,0.62719804,-7.3823663
1971,4,11,-5.830471039,-12.73513412,0.154201955,-9.282802582
1971,4,12,-7.294246674,-18.057827,0,-12.67603683
1971,4,13,-5.825527191,-17.97030258,0,-11.89791489
1971,4,14,-3.840297937,-16.7192955,0.016712446,-10.27979672
1971,4,15,0.155032963,-11.18273544,4.746250153,-5.51385124
1971,4,16,0.186221927,-14.9246788,0.2490215,-7.369228438
1971,4,17,-4.731838226,-14.45229721,0,-9.592067719
1971,4,18,-4.897731781,-13.08810043,0.044256832,-8.992916107
1971,4,19,-8.683773041,-14.87313461,0,-11.77845383
1971,4,20,-9.351161957,-19.66344833,0,-14.50730515
1971,4,21,-7.390804291,-20.97303391,0,-14.1819191
1971,4,22,-3.954891443,-17.56345749,0,-10.75917447
1971,4,23,-4.973781586,-15.01644516,0,-9.995113373
1971,4,24,-3.601528406,-20.84447861,0,-12.22300351
1971,4,25,-0.410061032,-14.46505356,0,-7.437557295
1971,4,26,-0.304897457,-10.20785141,1.369260311,-5.256374434
1971,4,27,-0.319027096,-17.46837997,0.391111583,-8.893703535
1971,4,28,0.388126224,-10.40856552,1.176339388,-5.010219648
1971,4,29,-3.849361658,-14.34792709,0.016172132,-9.098644376
1971,4,30,-1.812923551,-14.37267685,0.23463884,-8.0928002
1971,5,1,-2.092800379,-12.72021103,0.463717192,-7.406505704
1971,5,2,-2.219478846,-11.26000595,0.041411862,-6.739742398
1971,5,3,-0.657802761,-12.6323204,3.147496223,-6.645061582
1971,5,4,-2.696712732,-11.34402084,0.179539934,-7.020366788
1971,5,5,-2.597805262,-8.391109467,0.664925575,-5.494457364
1971,5,6,-2.604580164,-13.59405136,0,-8.099315763
1971,5,7,-1.136837125,-14.4005394,0,-7.768688262
1971,5,8,2.741367102,-8.616268158,0.317317843,-2.937450528
1971,5,9,4.133701324,-4.277584076,4.063892841,-0.071941376
1971,5,10,0.064853519,-8.04391098,1.14094913,-3.989528731
1971,5,11,-1.559719205,-7.209346771,0.845503926,-4.384532988
1971,5,12,-2.337063074,-10.38125229,0.033826783,-6.359157681
1971,5,13,-1.210018277,-13.52752304,0.047810763,-7.368770659
1971,5,14,-1.661190152,-9.731380463,0.021979688,-5.696285307
1971,5,15,-1.896022916,-10.28780746,0.296346009,-6.09191519
1971,5,16,-2.146450281,-9.676143646,0,-5.911296964
1971,5,17,0.436038822,-14.86553574,0,-7.214748457
1971,5,18,4.687076569,-8.122676849,3.339589834,-1.71780014
1971,5,19,4.492649078,-3.711727381,3.333581448,0.390460849
1971,5,20,2.225223303,-0.638698757,6.836499214,0.793262273
1971,5,21,2.205173254,-2.862514734,0.511149645,-0.32867074
1971,5,22,1.618228793,-6.023677826,0.023312427,-2.202724516
1971,5,23,1.904666781,-4.441951752,0,-1.268642485
1971,5,24,3.410251379,-9.177700043,0,-2.883724332
1971,5,25,6.826816559,-2.878170252,0.792968452,1.974323153
1971,5,26,7.899478912,0.82971555,8.716794014,4.364597231
1971,5,27,4.935306549,-2.277462244,0,1.328922153
1971,5,28,3.817477942,-7.088832855,0,-1.635677457
1971,5,29,5.797641754,-9.359462738,0,-1.780910492
1971,5,30,13.34805679,-6.634853363,0,3.356601715
1971,5,31,14.36633682,6.257541656,1.580022335,10.31193924
1971,6,1,9.04605484,-2.279110193,0.143703699,3.383472323
1971,6,2,5.374759674,-5.400508881,0,-0.012874603
1971,6,3,6.178470612,-5.134853363,0,0.521808624
1971,6,4,6.272281647,-5.340053558,0,0.466114044
1971,6,5,7.578647614,-4.791744232,0,1.393451691
1971,6,6,10.01395035,-4.244930267,0,2.88451004
1971,6,7,9.626926422,0.25159058,0.011979056,4.939258501
1971,6,8,7.192447662,-3.888363123,0.015658032,1.65204227
1971,6,9,10.03485489,-4.660793304,0.412869632,2.687030792
1971,6,10,12.24621964,3.347965002,1.023466349,7.797092319
1971,6,11,10.28137589,-0.17721191,1.797345877,5.052081987
1971,6,12,5.170719147,-2.196773767,2.128103495,1.48697269
1971,6,13,6.885074615,-0.411129147,3.627551794,3.236972734
1971,6,14,8.570102692,-0.36849609,0,4.100803301
1971,6,15,11.65884781,-4.062252045,0,3.798297882
1971,6,16,11.9720192,2.561313391,0.040847547,7.266666293
